name	description	p-value	q-value	phenotype	genes
16P11.2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20220510%WP4949%HOMO SAPIENS	16p11.2 proximal deletion syndrome	0.0174848853977415	0.0174848853977415	1	PPP2R1A,MLL2,PTEN
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4657%HOMO SAPIENS	22q11.2 copy number variation syndrome	0.00929786729973998	0.00929786729973998	1	FGFR2,FOXA2,NCOR1,EGFR
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS	7q11.23 copy number variation syndrome	0.0403800396257799	0.0403800396257799	1	CTNNB1,SF3B1,RB1
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	a6b1 and a6b4 Integrin signaling	0.0082929874139413	0.0082929874139413	1	PIK3CA,CDH1,AKT1,EGFR,PIK3R1
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687139.2	Aberrant regulation of mitotic cell cycle due to RB1 defects	0.00041240683139881	0.00041240683139881	1	RB1,CDKN1A,CDKN1B,CCND1
ABERRANT REGULATION OF MITOTIC G1 S TRANSITION IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9659787.1	Aberrant regulation of mitotic G1 S transition in cancer due to RB1 defects	2.83238131171851e-05	2.83238131171851e-05	1	RB1,CDKN1A,CDKN1B,CCND1
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.000139130757522039	0.000139130757522039	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 83%5619507	Activation of HOX genes during differentiation	0.000139130757522039	0.000139130757522039	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	activation of innate immune response	0.0839910920540329	0.0839910920540329	1	TLR4,EP300,SIN3A
ACTIVATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0032147	activation of protein kinase activity	0.0304317485754638	0.0304317485754638	1	MTOR,STK11,TGFBR2
ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032924	activin receptor signaling pathway	4.24357018028221e-05	4.24357018028221e-05	1	ACVR2A,ACVR1B,SMAD2,SMAD4
ADIPOGENESIS%WIKIPATHWAYS_20220510%WP236%HOMO SAPIENS	Adipogenesis	0.000436309527101613	0.000436309527101613	1	GATA3,RB1,CDKN1A,CTNNB1,NCOR1,CEBPA
