name	description	p-value	q-value	phenotype	genes
16P11.2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20220510%WP4949%HOMO SAPIENS	16p11.2 proximal deletion syndrome	0.0197499035603361	0.0197499035603361	1	PPP2R1A,MLL2,PTEN
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4657%HOMO SAPIENS	22q11.2 copy number variation syndrome	0.0109611233261761	0.0109611233261761	1	FGFR2,FOXA2,NCOR1,EGFR
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS	7q11.23 copy number variation syndrome	0.0448129927996286	0.0448129927996286	1	CTNNB1,SF3B1,RB1
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	a6b1 and a6b4 Integrin signaling	0.00961354882404086	0.00961354882404086	1	PIK3CA,CDH1,AKT1,EGFR,PIK3R1
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687139.2	Aberrant regulation of mitotic cell cycle due to RB1 defects	0.000539994889453315	0.000539994889453315	1	RB1,CDKN1A,CDKN1B,CCND1
ABERRANT REGULATION OF MITOTIC G1 S TRANSITION IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9659787.1	Aberrant regulation of mitotic G1 S transition in cancer due to RB1 defects	4.2792884797916e-05	4.2792884797916e-05	1	RB1,CDKN1A,CDKN1B,CCND1
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.000199251451403601	0.000199251451403601	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 83%5619507	Activation of HOX genes during differentiation	0.000199251451403601	0.000199251451403601	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	activation of innate immune response	0.0914726681986539	0.0914726681986539	1	TLR4,EP300,SIN3A
ACTIVATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0032147	activation of protein kinase activity	0.0339088888305101	0.0339088888305101	1	MTOR,STK11,TGFBR2
ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032924	activin receptor signaling pathway	6.1051225306093e-05	6.1051225306093e-05	1	ACVR2A,ACVR1B,SMAD2,SMAD4
ADIPOGENESIS%WIKIPATHWAYS_20220510%WP236%HOMO SAPIENS	Adipogenesis	0.000595850795024487	0.000595850795024487	1	GATA3,RB1,CDKN1A,CTNNB1,NCOR1,CEBPA
ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	ALK1 signaling events	0.0027330754918956	0.0027330754918956	1	ACVR2A,TGFBR2,SMAD4
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	0.0017052875076707	0.0017052875076707	1	PIK3R1,EGFR,SMAD2,PTPN11,MTOR
ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	0.00225461959062041	0.00225461959062041	1	PIK3R1,EGFR,SMAD2,PTPN11,MTOR
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	Alzheimer disease-presenilin pathway	0.0367798337700529	0.0367798337700529	1	ERBB4,CTNNB1,CDH1,NOTCH1
ALZHEIMER'S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20220510%WP2059%HOMO SAPIENS	Alzheimer's disease and miRNA effects	0.0684325374193124	0.0684325374193124	1	PIK3R1,CTNNB1,BRAF,AXIN2,NRAS,MTOR,KRAS
ALZHEIMER'S DISEASE%WIKIPATHWAYS_20220510%WP5124%HOMO SAPIENS	Alzheimer's disease	0.0656228446311037	0.0656228446311037	1	PIK3R1,CTNNB1,BRAF,AXIN2,NRAS,MTOR,KRAS
AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	ameboidal-type cell migration	0.0211688783209068	0.0211688783209068	1	EGR3,ERBB4,SMAD4,AKT1,KIT,PIK3CA
AMP-ACTIVATED PROTEIN KINASE (AMPK) SIGNALING%WIKIPATHWAYS_20220510%WP1403%HOMO SAPIENS	AMP-activated protein kinase (AMPK) signaling	0.0144538488593343	0.0144538488593343	1	PIK3R1,STK11,MTOR,CDKN1A
ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	anatomical structure homeostasis	0.098393380265865	0.098393380265865	1	NOTCH1,TLR4,SOX9
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP138%HOMO SAPIENS	Androgen receptor signaling pathway	1.29331884318985e-10	1.29331884318985e-10	1	PIK3R1,CTNNB1,CCND1,EP300,NCOR1,SIN3A,RB1,BRCA1,SMAD4,PTEN,CDKN1A,EGFR
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	1.28535916242246e-09	1.28535916242246e-09	1	FOXA1,RB1,CCND1,EP300,PIK3R1,SMAD4,PTEN,BRCA1,SIN3A,CEBPA,EGFR,CTNNB1
ANGIOGENESIS%GOBP%GO:0001525	angiogenesis	0.00292558332942873	0.00292558332942873	1	CTNNB1,SOX17,FGFR2,EGR3,AKT1,TGFBR2,PDGFRA
ANGIOGENESIS%PANTHER PATHWAY%P00005	Angiogenesis	6.1328296755883e-06	6.1328296755883e-06	1	PIK3CA,NRAS,MAP3K1,APC,CTNNB1,AKT1,PDGFRA,MAP2K4,EPHA3,NOTCH1,PIK3R1,BRAF,PIK3CG
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	Angiopoietin receptor Tie2-mediated signaling	0.0121797568542018	0.0121797568542018	1	PIK3CA,CDKN1A,AKT1,PTPN11,PIK3R1
ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20220510%WP5036%HOMO SAPIENS	Angiotensin II receptor type 1 pathway	0.00207282341959605	0.00207282341959605	1	PTPN11,TGFBR2,SMAD4
ANOIKIS%GOBP%GO:0043276	anoikis	0.000185404162489688	0.000185404162489688	1	AKT1,PIK3CA,MTOR,STK11
ANTERIOR/POSTERIOR AXIS SPECIFICATION%GOBP%GO:0009948	anterior/posterior axis specification	0.00378616594872977	0.00378616594872977	1	TBX3,FOXA2,WT1
ANTERIOR/POSTERIOR PATTERN SPECIFICATION%GOBP%GO:0009952	anterior/posterior pattern specification	0.00773327717943203	0.00773327717943203	1	SMAD2,TBX3,FOXA2,WT1
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	aortic valve development	2.38761613618354e-07	2.38761613618354e-07	1	AXIN2,NOTCH1,TGFBR2,SMAD2,RB1,SOX9,GATA3
AORTIC VALVE MORPHOGENESIS%GOBP%GO:0003180	aortic valve morphogenesis	1.05184159847363e-07	1.05184159847363e-07	1	AXIN2,NOTCH1,TGFBR2,SMAD2,RB1,SOX9,GATA3
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 transcription factor network	3.36830329227203e-07	3.36830329227203e-07	1	CDKN1B,CCND1,EP300,CBFB,PTEN,CTNNB1,TP53,CDKN2A
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	Apoptosis signaling pathway	0.00908615534154536	0.00908615534154536	1	PIK3CA,TP53,MAP3K1,PIK3CG,AKT1,MAP2K4
APOPTOSIS%REACTOME DATABASE ID RELEASE 83%109581	Apoptosis	0.00359776620266252	0.00359776620266252	1	APC,CDH1,TLR4,CDKN2A,TP53,AKT1,CTNNB1
APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME DATABASE ID RELEASE 83%111465	Apoptotic cleavage of cellular proteins	0.00622037723676968	0.00622037723676968	1	APC,CTNNB1,CDH1
APOPTOTIC EXECUTION PHASE%REACTOME DATABASE ID RELEASE 83%75153	Apoptotic execution phase	0.0126735165076201	0.0126735165076201	1	APC,CDH1,CTNNB1
APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097190	apoptotic signaling pathway	0.000102715441244847	0.000102715441244847	1	ATM,FGFR3,BRCA1,EP300,CHEK2,STK11,ACVR1B,CDKN1A,TP53
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	appendage development	0.0217578094089816	0.0217578094089816	1	CTNNB1,TBX3,FGFR2
APPENDAGE MORPHOGENESIS%GOBP%GO:0035107	appendage morphogenesis	0.00908615534154536	0.00908615534154536	1	CTNNB1,TBX3,FGFR2
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2586%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	1.24758985519319e-07	1.24758985519319e-07	1	RB1,NFE2L2,CDKN1B,NRAS,NF1,EP300,CDKN1A,KRAS,EGFR
ARYL HYDROCARBON RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2873%HOMO SAPIENS	Aryl hydrocarbon receptor pathway	0.000870586096259407	0.000870586096259407	1	NFE2L2,CDKN1B,EP300,EGFR
